ID,TopConfigs
tile:xla:0f49adf7da68c0f9b69405d6d863816b,426;825;806;129;750
tile:xla:72ba9ab76269be7c8e49a5fbb11ef698,49;175;1458;912;50
tile:xla:a9ab1ac30e2be1ed9a69c3ff00e79a32,946;818;303;342;378
tile:xla:a89510ad2f084c85f0976a8801c9fa8e,367;233;123;243;484
tile:xla:0290924419976cd8cdcddd0b5288e9d7,315;740;209;28;450
tile:xla:3505c76a2f1cad781f2a1597e3ea6e25,3486;8347;4393;1855;5587
tile:xla:aaafec35b0250e74b8400eb471d07161,10;22;185;209;134
tile:xla:04ae9238c653f8ae08f60f2c03615f0b,127;746;688;701;447
tile:xla:a80fee40068602fce8f0edf6f1c1e4db,26;3;57;129;110
tile:xla:7cd13f187af8bded9afd6cd64d8ff3c5,168;41;60;183;184
tile:xla:bf70385fa2180ae3bdcb1bf7fb6d660e,0;6;1;5;2
tile:xla:93e2a0c7215723f0e009b40498d82b3a,563;144;67;390;151
tile:xla:049295205e7eba22599751ad598cfa41,115;128;1;19;7
tile:xla:bc525ead0923ddec0b3bedf0ff43f670,114;142;119;20;137
tile:xla:cb7db25dc0d28d7cb6e87bfcfb70ea4b,107;102;137;70;133
tile:xla:201491ec525e69265b5c35b8ea663b14,134;66;296;1371;899
tile:xla:726bbecbfd4ec63024bd8f4989d61837,25;18;1;17;12
tile:xla:3610d7e16d0928ea031df76fc178ce2d,0;1;2;3;4
tile:xla:6f80ef454744ebc2641433206f2c61fc,486;2067;1415;1120;60
tile:xla:7bcc671c118440d770f79e4d2760e34a,5;1;3;0;2
tile:xla:f5bb75aa262b9d9de17f9d33de9ea34a,31;78;594;748;9
tile:xla:e1f8d7a86294d6d30cefd92d89e059b4,750;1370;3238;2672;995
tile:xla:a2abe17f7a71157034308d7802792cba,47;55;14;16;0
tile:xla:0023795810403f8b0b244d88c901322f,464;1511;1638;1850;2367
tile:xla:b752e1283debc25ab668bd5b7646d304,50;116;20;56;157
tile:xla:488bf17e123df3e4231b1d1ed95552f5,5851;4228;920;3107;9
tile:xla:2e3825b097f2ad56f55ff538b12f31f2,8620;9;2802;1650;6494
tile:xla:cbb8850daa464f4cf8c283ae19852527,139;39;66;31;55
tile:xla:3f399b5c73d14f1655d2a6e0423f5c05,4720;1494;2809;281;502
tile:xla:150b0b4d911eb9c0923c34f80af22be4,670;290;473;666;154
tile:xla:e78946980cbec5197d73457106391614,2979;276;2206;403;6952
tile:xla:cff1f1edf3d1cef28fae6479907b6b68,408;954;1072;265;102
tile:xla:4d3ffc822a0ad2f55a4a3c16b45ca037,27;80;111;42;6
tile:xla:cd4844bf58a646532713937879b42859,4;16;34;8;31
tile:xla:b9eb5e508e84886eb22e8f0426983889,2;1;0;0;0
tile:xla:1af25bf59b2d76999372b9962efe5a65,5813;2341;422;1229;1124
tile:xla:cd26724451b9683f844d26eec16be93f,23;28;31;32;38
tile:xla:30cbe83eeb542134d64e1b0ac1e566d8,128;503;1;304;232
tile:xla:2b5e539272adc4c910c8f285b6bc6896,91;190;13;200;10
tile:xla:e447940be23e00e40fe51936f5f43bca,28;3;24;2;27
tile:xla:59e544739136d3ce84bac0b42bd3a1c5,230;774;845;828;270
tile:xla:86e260dc400108cdfeea7e97452f253b,657;364;16;361;252
tile:xla:862900d42397d03be2762e1bf7518bea,161;206;287;935;1344
tile:xla:c184ffde718be11af1ee1a2c412402f2,1124;811;122;178;218
tile:xla:80bdae9e920fff6014e319388dd1c0a7,43;69;170;298;340
tile:xla:8113ae7d2894dba021c2a4b2dfe3cf8f,2275;4729;3696;5963;4179
tile:xla:e1ac69bf052406387963d7d6cdc7e25c,777;1134;88;566;719
tile:xla:e4240cf4a9725a8e5961af18fad91613,1350;84;1399;1655;176
tile:xla:de5c1892cac311e2bc844c130b700fd0,3;94;65;41;88
tile:xla:c6552722f364b08cf897534e4328de5e,219;250;749;756;761
tile:xla:9f7552f1856132b6fdb9675910825d31,2;3;4;0;1
tile:xla:86135e0bab6f882e0b9883e912ab442c,444;298;720;273;51
tile:xla:db5d2a60c4333366ba138d063db62f99,126;7;85;197;348
tile:xla:bacd93421df104c12a24ea7d4468a114,116;248;323;441;549
tile:xla:ee34e5913deecf4f545d7022c549ca1e,4;6;2;3;5
tile:xla:18df50b542340951a728e52690eade41,445;402;159;17;42
tile:xla:2ab7cca8ffaa3ecd27e7a8d644d6f416,22;69;99;3;36
tile:xla:6e3d8e1b96f9953cc19ccbdfd912de1a,351;394;125;269;335
tile:xla:6fce8edb767fe07b2d3f1521d1d5dfc4,22;4;30;51;40
tile:xla:2267075245e1e4484232542c85c1509f,905;984;1307;987;679
tile:xla:be956238ab0410a8e0445090a88c2170,5;18;1;7;12
tile:xla:90a41de3216240f4320e842543305f33,63;72;150;376;469
tile:xla:255e0fbf6dbb62d1a164f20a92fcdb6b,0;1;3;2;0
tile:xla:28a5375741493e3ee264bba835c5a099,340;2277;3146;1071;2586
tile:xla:136b5499a5411037285d59e0b2b21ca1,259;224;59;85;197
tile:xla:41cdd9ef056d0cb31bd4edafc9616de3,3578;921;975;2557;2545
tile:xla:1dc086e3dbb9e7b666abdc7ef6908f0f,135;159;60;124;42
tile:xla:f5674ac59bc9bca0c0e6146dfd7005fc,567;581;509;301;684
tile:xla:478b65b493a916d0157c2a803aa92e31,1282;2608;1883;1622;1846
tile:xla:47709b8a5ad520489eaa5a8e3c900ea0,3;2;0;1;0
tile:xla:a4a9959060067a0fc35588940915f610,1;20;19;18;2
tile:xla:b08cfe185bae21b59638bdf9079ebf7a,1079;944;151;298;1136
tile:xla:6297c4d979e7969b46e887521f5912c3,22;78;5;26;4
tile:xla:cc5e781ed2aac1fe0c5dc33cf0150088,3;2;4;1;0
tile:xla:9c769884777d040bcbcf40f73f78c774,5;249;312;419;436
tile:xla:31cec14c5c237f400d4dc4846446eeaf,2584;230;2238;2488;1493
tile:xla:38e8d58bf3373385748726cc77524d11,0;3;19;13;23
tile:xla:a3b204197115e9f824acb95a43d9a882,146;446;169;178;196
tile:xla:737ac072c8a66751753c055f359b651b,34;8;69;96;133
tile:xla:967b49200d7a075ff3e250d4d9e11928,2603;758;1953;507;1130
tile:xla:5d01c8e61fe29ba7b911dc3e4e69fbef,59;69;150;54;103
tile:xla:d3cfca733784b40206264090c1163c0d,3681;1258;341;2525;396
tile:xla:900b68aa1a7a1352d09d0cd64b4f9a39,4;14;16;23;34
tile:xla:cd62bd589ea44f61b6f96edfa58feeb5,289;458;443;195;216
tile:xla:8dafb2e8adce1d0ce8366daf52def9e9,765;416;4455;578;3751
tile:xla:9ebffcaed2795295fd669970f0bc648c,111;60;47;74;23
tile:xla:5feea5f6e47fcc9c5ccf7587c16ebe1f,440;4056;1126;3507;983
tile:xla:8c7780be3785ce4e4ebcb7c29cadefa5,7;512;26;245;201
tile:xla:0a8a2b247d7a20b9dcab1daf50066a4d,17;345;58;742;386
tile:xla:6144042c911d82466c3b688074e185f0,9617;4345;3345;1055;4932
tile:xla:444c7fe5f48574e5ab1b16b16f1852de,4;25;53;16;13
tile:xla:3c85c4e165540138fbbb362de6ce40d1,15;79;132;122;19
tile:xla:a2441be1d862f18080942919de566bc7,48;89;94;148;163
tile:xla:75ffaca23fca7022ff0b2be0837bb969,128;177;270;138;48
tile:xla:1000f473d6c618219fdfb6c4eeb9f03f,347;467;45;420;558
